TARİH,SAAT,CEH.3 ALT2 SET ISI_FARK
2024-11-20,23:39:00,68
2024-11-20,23:40:00,62
2024-11-20,23:41:00,58
2024-11-20,23:42:00,54
2024-11-20,23:28:00,183
2024-11-20,23:27:00,198
2024-11-20,23:25:00,236
2024-11-20,22:32:10,371
2024-11-20,22:33:09,371
2024-11-20,22:34:09,364
2024-11-20,22:36:09,316
2024-11-20,22:37:09,292
2024-11-20,22:39:09,252
2024-11-20,22:40:09,235
2024-11-20,22:41:09,220
2024-11-20,22:42:09,205
2024-11-20,22:43:09,191
2024-11-20,22:44:09,177
2024-11-20,22:45:09,164
2024-11-20,22:46:09,152
2024-11-20,22:47:09,140
2024-11-20,22:48:09,128
2024-11-20,22:49:09,118
2024-11-20,23:21:01,286
2024-11-20,23:23:00,281
2024-11-20,23:24:00,260
2024-11-20,23:26:00,216
2024-11-21,15:02:35,53
2024-11-21,15:03:35,56
2024-11-21,15:04:35,58
2024-11-21,15:05:36,60
2024-11-21,15:06:35,63
2024-11-21,15:07:35,65
2024-11-21,15:08:35,68
2024-11-21,15:09:35,70
2024-11-21,15:11:35,75
2024-11-21,15:13:35,79
2024-11-21,10:46:22,52
2024-11-21,10:47:22,56
2024-11-21,10:48:22,58
2024-11-21,10:49:22,61
2024-11-21,10:50:22,64
2024-11-21,10:52:22,70
2024-11-21,10:53:22,72
2024-11-21,15:14:35,81
2024-11-21,12:59:40,142
2024-11-21,13:00:40,139
2024-11-21,13:01:39,88
2024-11-21,13:02:40,64
2024-11-21,15:15:36,84
2024-11-21,17:27:36,58
2024-11-21,15:17:36,89
2024-11-21,22:30:01,182
2024-11-21,22:31:01,171
2024-11-21,22:32:01,161
2024-11-21,22:33:01,151
2024-11-21,22:34:01,142
2024-11-21,22:36:01,123
2024-11-21,22:37:00,114
2024-11-21,22:38:01,108
2024-11-21,22:39:01,101
2024-11-21,22:40:01,95
2024-11-21,22:29:01,193
2024-11-21,22:41:01,90
2024-11-21,22:43:01,79
2024-11-21,22:44:01,75
2024-11-21,22:45:01,71
2024-11-21,22:46:01,68
2024-11-21,22:47:01,64
2024-11-21,22:48:01,61
2024-11-21,22:49:01,59
2024-11-21,22:42:01,85
2024-11-21,22:27:01,215
2024-11-21,22:26:01,226
2024-11-21,17:23:36,94
2024-11-21,17:24:36,82
2024-11-21,17:25:36,72
2024-11-21,17:26:36,65
2024-11-21,17:28:36,53
2024-11-21,22:10:01,478
2024-11-21,22:11:00,477
2024-11-21,22:12:00,471
2024-11-21,22:13:00,452
2024-11-21,22:14:00,424
2024-11-21,22:15:01,397
2024-11-21,22:16:01,374
2024-11-21,22:17:01,353
2024-11-21,22:19:01,319
2024-11-21,22:20:01,304
2024-11-21,22:21:01,289
2024-11-21,22:23:01,263
2024-11-21,22:24:01,250
2024-11-21,22:25:01,238
2024-11-21,17:22:36,106
2024-11-21,17:21:36,118
2024-11-21,17:19:36,144
2024-11-21,17:18:36,158
2024-11-21,15:49:36,153
2024-11-21,15:50:36,155
2024-11-21,15:51:36,157
2024-11-21,15:52:36,158
2024-11-21,15:53:36,160
2024-11-21,15:54:36,161
2024-11-21,15:57:35,167
2024-11-21,15:58:36,169
2024-11-21,15:59:35,170
2024-11-21,16:00:35,171
2024-11-21,16:01:36,174
2024-11-21,16:02:35,175
2024-11-21,16:04:35,178
2024-11-21,16:05:35,179
2024-11-21,16:06:35,181
2024-11-21,16:07:35,182
2024-11-21,16:08:36,184
2024-11-21,16:09:36,201
2024-11-21,16:10:36,202
2024-11-21,16:11:36,203
2024-11-21,16:13:36,206
2024-11-21,16:15:36,209
2024-11-21,16:16:36,211
2024-11-21,15:48:35,151
2024-11-21,16:17:36,212
2024-11-21,15:47:35,149
2024-11-21,15:45:36,145
2024-11-21,15:18:36,92
2024-11-21,15:19:36,94
2024-11-21,15:20:36,97
2024-11-21,15:21:36,99
2024-11-21,15:22:36,102
2024-11-21,15:23:36,104
2024-11-21,15:24:36,106
2024-11-21,15:26:36,110
2024-11-21,15:27:36,112
2024-11-21,15:29:36,115
2024-11-21,15:30:36,117
2024-11-21,15:32:36,121
2024-11-21,15:33:36,123
2024-11-21,15:34:35,124
2024-11-21,15:35:36,126
2024-11-21,15:36:36,128
2024-11-21,15:37:36,129
2024-11-21,15:38:36,132
2024-11-21,15:39:36,134
2024-11-21,15:41:36,138
2024-11-21,15:42:36,140
2024-11-21,15:43:36,142
2024-11-21,15:44:36,144
2024-11-21,15:46:36,148
2024-11-21,15:16:36,86
2024-11-21,16:18:36,214
2024-11-21,16:20:36,216
2024-11-21,16:51:35,257
2024-11-21,16:52:35,258
2024-11-21,16:53:36,259
2024-11-21,16:54:35,261
2024-11-21,16:55:35,262
2024-11-21,16:57:35,264
2024-11-21,16:58:35,266
2024-11-21,16:59:36,267
2024-11-21,17:00:35,268
2024-11-21,17:02:36,271
2024-11-21,17:03:36,272
2024-11-21,17:04:36,274
2024-11-21,17:05:36,275
2024-11-21,17:06:36,276
2024-11-21,17:07:36,277
2024-11-21,17:08:36,278
2024-11-21,17:09:36,279
2024-11-21,17:10:36,281
2024-11-21,17:12:36,276
2024-11-21,17:13:36,255
2024-11-21,17:14:36,231
2024-11-21,17:15:36,209
2024-11-21,17:17:36,173
2024-11-21,16:50:35,256
2024-11-21,16:19:36,215
2024-11-21,16:49:35,255
2024-11-21,16:47:36,252
